vehicle,stamp,x,y,z
defender,1779218627.1355064,33.98372968286276,12.511926018632948,2.965362548828125
defender,1779218627.1755095,33.98461090307683,12.512298291549087,2.965057373046875
defender,1779218627.2155302,33.98520662076771,12.512538207694888,2.964874267578125
defender,1779218627.2555506,33.98666074778885,12.513109724968672,2.964569091796875
defender,1779218627.2955108,33.98751942347735,12.513445463962853,2.964447021484375
defender,1779218627.335523,33.98837010003626,12.513774167746305,2.96435546875
defender,1779218627.3755307,33.98950801510364,12.514209195971489,2.964324951171875
defender,1779218627.4155471,33.990370840765536,12.514539821073413,2.96429443359375
defender,1779218627.4555192,33.99096923414618,12.514772269874811,2.964324951171875
defender,1779218627.495526,33.99246980622411,12.515315760858357,2.964447021484375
defender,1779218627.5356734,33.99339047074318,12.515598428435624,2.96453857421875
defender,1779218627.575505,33.9940040782094,12.515769442543387,2.964599609375
defender,1779218627.6155612,33.99550473457202,12.516143335029483,2.96484375
defender,1779218627.655499,33.996830409858376,12.516478290781379,2.965240478515625
defender,1779218627.6956065,33.996830409858376,12.516478290781379,2.965240478515625
defender,1779218627.7355137,33.99795235716738,12.516804791986942,2.9658203125
defender,1779218627.7755086,33.99886040540878,12.517167761921883,2.966552734375
defender,1779218627.8155203,33.99886040540878,12.517167761921883,2.966552734375
defender,1779218627.8555343,33.9994657538482,12.517685893923044,2.96759033203125
defender,1779218627.8955123,33.99966358812526,12.518153216689825,2.968536376953125
defender,1779218627.9355085,33.99966358812526,12.518153216689825,2.968536376953125
defender,1779218627.9755137,33.99974976031808,12.518519427627325,2.969268798828125
defender,1779218628.015543,33.999789462497574,12.518964184448123,2.97015380859375
defender,1779218628.0555367,33.999789462497574,12.518964184448123,2.97015380859375
defender,1779218628.0956647,33.99980052372848,12.519397584721446,2.97100830078125
defender,1779218628.1355088,33.99978966070921,12.51990626938641,2.971923828125
defender,1779218628.1755111,33.99975019780686,12.52009037323296,2.972198486328125
defender,1779218628.215624,33.999582105112495,12.520576640963554,2.972808837890625
defender,1779218628.2571728,33.999463124142494,12.520839283242822,2.973052978515625
defender,1779218628.2955105,33.99928430246655,12.521263798698783,2.973419189453125
defender,1779218628.3355148,33.99893541086931,12.522116864100099,2.97393798828125
defender,1779218628.3755126,33.99875017919112,12.522503327578306,2.97412109375
defender,1779218628.4165118,33.99875017919112,12.522503327578306,2.97412109375
defender,1779218628.4555058,33.99784726719372,12.5241229981184,2.974609375
defender,1779218628.4955082,33.997578642563894,12.524531999602914,2.974639892578125
defender,1779218628.5355132,33.997578642563894,12.524531999602914,2.974639892578125
defender,1779218628.575545,33.99687532498501,12.525509605184197,2.97467041015625
defender,1779218628.6155586,33.99617546610534,12.526388820260763,2.974578857421875
defender,1779218628.6555111,33.99576618196443,12.5268628410995,2.97454833984375
defender,1779218628.695511,33.99511917633936,12.527609745040536,2.974517822265625
defender,1779218628.735533,33.99452251801267,12.528286810964346,2.97454833984375
defender,1779218628.7755654,33.99452251801267,12.528286810964346,2.97454833984375
defender,1779218628.8155346,33.99399011861533,12.528879405930638,2.974609375
defender,1779218628.855532,33.99348923750222,12.529409479349852,2.9747314453125
defender,1779218628.8955112,33.99348923750222,12.529409479349852,2.9747314453125
defender,1779218628.9355032,33.99305096268654,12.529932154342532,2.97479248046875
defender,1779218628.9755008,33.99267791118473,12.530507564544678,2.974761962890625
defender,1779218629.0155501,33.99267791118473,12.530507564544678,2.974761962890625
defender,1779218629.0555115,33.99238936742768,12.531168198212981,2.974609375
defender,1779218629.095515,33.99214030522853,12.531967528164387,2.97442626953125
defender,1779218629.1355197,33.99214030522853,12.531967528164387,2.97442626953125
defender,1779218629.1755257,33.991870573721826,12.532864347100258,2.97418212890625
defender,1779218629.2162993,33.991578788496554,12.533829785883427,2.973907470703125
defender,1779218629.2555165,33.991578788496554,12.533829785883427,2.973907470703125
defender,1779218629.2955415,33.991215467453,12.534809563308954,2.97357177734375
defender,1779218629.3355362,33.990732478909194,12.53584161028266,2.9732666015625
defender,1779218629.3755593,33.99046167079359,12.536306370049715,2.97314453125
defender,1779218629.4154334,33.99046167079359,12.536306370049715,2.97314453125
defender,1779218629.4555073,33.98928305320442,12.538232233375311,2.972808837890625
defender,1779218629.4955773,33.98882262967527,12.538973547518253,2.97271728515625
defender,1779218629.5355191,33.98882262967527,12.538973547518253,2.97271728515625
defender,1779218629.5755322,33.988174178637564,12.53989053145051,2.97265625
defender,1779218629.6155448,33.98734009359032,12.540977109223604,2.972686767578125
defender,1779218629.655991,33.98734009359032,12.540977109223604,2.972686767578125
defender,1779218629.6955302,33.98654099460691,12.541957449167967,2.97283935546875
defender,1779218629.7355065,33.985758691094816,12.54279114305973,2.9730224609375
defender,1779218629.775568,33.985758691094816,12.54279114305973,2.9730224609375
defender,1779218629.8155112,33.98494260944426,12.543596297502518,2.9732666015625
defender,1779218629.855509,33.98446583561599,12.544068958610296,2.973388671875
defender,1779218629.8955355,33.98446583561599,12.544068958610296,2.973388671875
defender,1779218629.935514,33.983889466151595,12.544646475464106,2.9735107421875
defender,1779218629.976296,33.98327547311783,12.545240227133036,2.9736328125
defender,1779218630.015674,33.98327547311783,12.545240227133036,2.9736328125
defender,1779218630.0555105,33.98266224935651,12.545825965702534,2.973663330078125
defender,1779218630.095516,33.981969056650996,12.546512071043253,2.9735107421875
defender,1779218630.1355112,33.98176862299442,12.54673370718956,2.97344970703125
defender,1779218630.1755357,33.98159529082477,12.546948809176683,2.973358154296875
defender,1779218630.2155201,33.98127765394747,12.547451242804527,2.97314453125
defender,1779218630.2555168,33.98116913624108,12.547736693173647,2.972991943359375
defender,1779218630.295509,33.98114378750324,12.547922603785992,2.972869873046875
defender,1779218630.3355298,33.98118005134165,12.548377487808466,2.972564697265625
defender,1779218630.375522,33.98128751665354,12.548623774200678,2.97235107421875
defender,1779218630.4155347,33.9813751000911,12.548781652003527,2.972198486328125
defender,1779218630.4555285,33.981827488169074,12.549022812396288,2.971954345703125
defender,1779218630.495546,33.98216234706342,12.549139078706503,2.97186279296875
defender,1779218630.5368378,33.98244001716375,12.549195181578398,2.971771240234375
defender,1779218630.5755107,33.98318659886718,12.549280114471912,2.971588134765625
defender,1779218630.6155453,33.98364988528192,12.54927559196949,2.971466064453125
defender,1779218630.6555202,33.98409160785377,12.549252033233643,2.97137451171875
defender,1779218630.6955125,33.984633827582,12.54921394214034,2.971282958984375
defender,1779218630.7355163,33.98496157582849,12.549188684672117,2.971160888671875
defender,1779218630.775508,33.98516205698252,12.549192808568478,2.9710693359375
defender,1779218630.815533,33.985602056607604,12.549268003553152,2.97088623046875
defender,1779218630.855508,33.985859811306,12.54932091012597,2.970794677734375
defender,1779218630.8955162,33.9860373204574,12.549349781125784,2.97076416015625
defender,1779218630.936899,33.98657526448369,12.549462750554085,2.970672607421875
defender,1779218630.9755034,33.98690607585013,12.549609664827585,2.970611572265625
defender,1779218631.0155165,33.98690607585013,12.549609664827585,2.970611572265625
defender,1779218631.0555172,33.98728805966675,12.54990403726697,2.970458984375
defender,1779218631.0955443,33.987614588811994,12.550260998308659,2.97027587890625
defender,1779218631.1355033,33.987614588811994,12.550260998308659,2.97027587890625
defender,1779218631.1755033,33.987864239141345,12.550610080361366,2.970123291015625
defender,1779218631.2155113,33.988118382170796,12.551028054207563,2.969879150390625
defender,1779218631.2555277,33.988118382170796,12.551028054207563,2.969879150390625
defender,1779218631.2955008,33.988326067104936,12.551423825323582,2.96966552734375
defender,1779218631.3355458,33.98851059284061,12.5517721734941,2.969482421875
defender,1779218631.375549,33.98851059284061,12.5517721734941,2.969482421875
defender,1779218631.4155009,33.988726019859314,12.552141461521387,2.96917724609375
defender,1779218631.4555411,33.98897212278098,12.552404597401619,2.96868896484375
defender,1779218631.4955375,33.98897212278098,12.552404597401619,2.96868896484375
