vehicle,stamp,x,y,z
defender,1776830445.2155917,7.987554627470672,5.946142230182886,3.014801025390625
defender,1776830445.2557414,7.987096156924963,5.945693861693144,3.01434326171875
defender,1776830445.2956262,7.986685938201845,5.945234403014183,3.013824462890625
defender,1776830445.3356726,7.98635632917285,5.9448545537889,3.01318359375
defender,1776830445.3757374,7.986252907663584,5.94474109634757,3.01287841796875
defender,1776830445.4156783,7.986086830496788,5.944511737674475,3.011932373046875
defender,1776830445.4557102,7.986093201674521,5.944451678544283,3.011199951171875
defender,1776830445.4955575,7.986278727650642,5.94450506567955,3.010223388671875
defender,1776830445.9956353,7.989860374480486,5.947939917445183,3.00018310546875
defender,1776830446.0356991,7.9900637567043304,5.9483252465724945,3.000030517578125
defender,1776830446.0757115,7.990788622759283,5.94945177808404,2.999755859375
defender,1776830446.1167438,7.991431139409542,5.9503806829452515,2.999755859375
defender,1776830446.155653,7.991954726167023,5.951087538152933,2.9998779296875
defender,1776830446.1957128,7.992630335967988,5.951876547187567,3.00006103515625
defender,1776830446.236418,7.99341523880139,5.952576585114002,3.000335693359375
defender,1776830446.2756417,7.9939610455185175,5.9530364871025085,3.0006103515625
defender,1776830446.315714,7.994146917480975,5.95320525765419,3.000762939453125
defender,1776830446.355619,7.994536949321628,5.9536126255989075,3.001190185546875
defender,1776830446.3955505,7.994836027733982,5.9539407677948475,3.001800537109375
defender,1776830446.4356043,7.995069327764213,5.954124443233013,3.00250244140625
defender,1776830446.4757063,7.995214569848031,5.954235602170229,3.003204345703125
defender,1776830446.5156338,7.995237522292882,5.954350806772709,3.00384521484375
defender,1776830446.555692,7.995266321580857,5.954464927315712,3.004486083984375
defender,1776830446.59561,7.995281763840467,5.954540651291609,3.004730224609375
defender,1776830446.6355894,7.99532413110137,5.954763628542423,3.00555419921875
defender,1776830446.6757119,7.995384870097041,5.954948972910643,3.006378173828125
defender,1776830446.715938,7.99546904489398,5.955174550414085,3.007171630859375
defender,1776830446.755594,7.995517791248858,5.955389566719532,3.007781982421875
defender,1776830446.7957697,7.995528747327626,5.955569643527269,3.00823974609375
defender,1776830446.8354785,7.995500992052257,5.955887883901596,3.009002685546875
defender,1776830446.8757195,7.995406762696803,5.956183336675167,3.009735107421875
defender,1776830446.9159129,7.995344510767609,5.9562905840575695,3.010040283203125
defender,1776830446.958059,7.995072955265641,5.9565484598279,3.01068115234375
defender,1776830446.9957442,7.994735558517277,5.95685875043273,3.01123046875
defender,1776830447.0357425,7.9943458721973,5.957218196243048,3.01171875
defender,1776830447.0757334,7.993880234658718,5.957634720951319,3.01214599609375
defender,1776830447.1156123,7.993417588062584,5.958071690052748,3.012664794921875
defender,1776830447.1557612,7.993011087179184,5.958490885794163,3.01318359375
defender,1776830447.1957488,7.992811939679086,5.958745762705803,3.013519287109375
defender,1776830447.2356377,7.992659639567137,5.9592150673270226,3.014007568359375
defender,1776830447.2757473,7.992691254243255,5.959699627012014,3.01434326171875
defender,1776830447.315829,7.992912183050066,5.960199173539877,3.014495849609375
defender,1776830447.3557339,7.993327338248491,5.960723984986544,3.014373779296875
defender,1776830447.3959587,7.993960526771843,5.961228620260954,3.014007568359375
defender,1776830447.4356067,7.994731880258769,5.961715444922447,3.01348876953125
defender,1776830447.4755723,7.995629978366196,5.962183106690645,3.012847900390625
defender,1776830447.5155902,7.995995756238699,5.962364360690117,3.0125732421875
defender,1776830447.5556884,7.996946995612234,5.962801747024059,3.0118408203125
defender,1776830447.5957222,7.9978540893644094,5.96317720785737,3.011077880859375
defender,1776830447.63603,7.998749047401361,5.963556483387947,3.01031494140625
defender,1776830447.6757398,7.999263604870066,5.963782776147127,3.00982666015625
defender,1776830447.7156625,8.0000704952472,5.96412293240428,3.009002685546875
defender,1776830447.7557402,8.00071207259316,5.9644055142998695,3.008331298828125
defender,1776830447.7957518,8.00169903517235,5.96492912247777,3.007354736328125
defender,1776830447.8356102,8.002479857765138,5.965383671224117,3.006561279296875
defender,1776830447.8756151,8.003067260375246,5.965746250003576,3.0059814453125
defender,1776830447.915725,8.003769794711843,5.9661931693553925,3.00531005859375
defender,1776830447.9557657,8.00415646051988,5.966441370546818,3.00494384765625
defender,1776830447.995548,8.004718388430774,5.966857731342316,3.00433349609375
defender,1776830448.0357711,8.00522678066045,5.9673130586743355,3.003814697265625
defender,1776830448.0757513,8.005660885944963,5.9678050726652145,3.00335693359375
defender,1776830448.1156151,8.00602102279663,5.968321315944195,3.00299072265625
defender,1776830448.1557395,8.006347350776196,5.968832055106759,3.002655029296875
defender,1776830448.1955185,8.006645271088928,5.969326589256525,3.0023193359375
defender,1776830448.2355905,8.006876581348479,5.969866205006838,3.001922607421875
defender,1776830448.2756062,8.006933895405382,5.970232928171754,3.001678466796875
defender,1776830448.3156993,8.006950495764613,5.9707470294088125,3.0013427734375
defender,1776830448.3558278,8.006838980130851,5.971415422856808,3.000885009765625
defender,1776830448.3956778,8.006448589265347,5.972262712195516,3.0003662109375
defender,1776830448.4357395,8.005978980567306,5.9729759488254786,3.0
defender,1776830448.4756935,8.005779766943306,5.973249360918999,2.9998779296875
defender,1776830448.5156362,8.005293758586049,5.9738735891878605,2.999481201171875
defender,1776830448.559047,8.004896241705865,5.974447837099433,2.9991455078125
defender,1776830448.5955925,8.004577782936394,5.974970968440175,2.99884033203125
defender,1776830448.635639,8.004406350664794,5.975453708320856,2.9986572265625
defender,1776830448.6756349,8.004401342011988,5.975881831720471,2.998504638671875
defender,1776830448.7173681,8.004616854246706,5.976263793185353,2.998382568359375
defender,1776830448.7556176,8.005008576903492,5.97669043391943,2.998321533203125
defender,1776830448.7955968,8.005476045422256,5.977126259356737,2.99835205078125
defender,1776830448.8356032,8.005973150022328,5.977576471865177,2.9984130859375
defender,1776830448.8756757,8.006278293207288,5.977840811014175,2.99847412109375
defender,1776830448.915737,8.006715698167682,5.978189425542951,2.99859619140625
defender,1776830448.955707,8.007066692691296,5.978473950177431,2.998748779296875
defender,1776830448.9957328,8.00760312564671,5.979051988571882,2.999114990234375
defender,1776830449.035581,8.008112912997603,5.979659078642726,2.99957275390625
defender,1776830449.075678,8.008645211346447,5.980213845148683,3.00006103515625
defender,1776830449.1156225,8.009211290627718,5.9807072300463915,3.00048828125
defender,1776830449.1556952,8.009790636599064,5.9811877235770226,3.00091552734375
defender,1776830449.1957905,8.010315232910216,5.9816475715488195,3.001312255859375
defender,1776830449.2355876,8.010742608457804,5.982124632224441,3.001708984375
defender,1776830449.2757106,8.01108911074698,5.982630906626582,3.00213623046875
defender,1776830449.3158445,8.011203077621758,5.98283046297729,3.002349853515625
defender,1776830449.355481,8.011444875970483,5.9833108596503735,3.002899169921875
defender,1776830449.3956115,8.011660048738122,5.983816176652908,3.003387451171875
defender,1776830449.4357362,8.011873006820679,5.984447045251727,3.0037841796875
defender,1776830449.475677,8.0119712902233,5.984864421188831,3.00396728515625
defender,1776830449.5155895,8.011987884528935,5.98513418994844,3.003997802734375
