vehicle,stamp,x,y,z
defender,1776662837.366757,35.06444722414017,19.999205414089374,-0.027624511718749994
defender,1776662837.4046264,35.065093755722046,19.998731087893248,-0.028356933593749994
defender,1776662837.4446607,35.065683864057064,19.99842229427304,-0.029028320312499994
defender,1776662837.4846046,35.066162683069706,19.998179407673888,-0.029608154296874994
defender,1776662837.5245988,35.06651958078146,19.997985589085147,-0.030035400390624994
defender,1776662837.5647027,35.067086674273014,19.997653791913763,-0.030706787109374994
defender,1776662837.6064231,35.067315459251404,19.997524498263374,-0.030950927734374994
defender,1776662837.6454334,35.06783802062273,19.997204849729314,-0.031622314453124994
defender,1776662837.684751,35.068100206553936,19.996949665946886,-0.032019042968749994
defender,1776662837.7258973,35.06855047494173,19.99652726855129,-0.032629394531249994
defender,1776662837.7646105,35.06905043870211,19.99614190752618,-0.033117675781249994
defender,1776662837.804606,35.06953137367964,19.995817716233432,-0.033422851562499994
defender,1776662837.8467433,35.06980574131012,19.99567401409149,-0.033514404296874994
defender,1776662837.884595,35.07022079080343,19.995555026456714,-0.033483886718749994
defender,1776662837.9246566,35.07054927200079,19.995516908355057,-0.033422851562499994
defender,1776662837.9665208,35.070938505232334,19.995505885686725,-0.033239746093749994
defender,1776662838.0046241,35.071344673633575,19.995492118410766,-0.032995605468749994
defender,1776662838.0445817,35.07179183512926,19.99557089433074,-0.032568359374999994
defender,1776662838.0845804,35.07205078750849,19.995683246292174,-0.032232666015624994
defender,1776662838.1246028,35.07226460427046,19.995900546200573,-0.031713867187499994
defender,1776662838.164592,35.07238952815533,19.996147306170315,-0.031164550781249994
defender,1776662838.2045789,35.0724266320467,19.99626719020307,-0.030737304687499994
defender,1776662838.2446122,35.07242823392153,19.996290262322873,-0.030554199218749994
defender,1776662838.2845855,35.072460032999516,19.99629943794571,-0.030157470703124994
defender,1776662838.324578,35.0724817737937,19.996217428939417,-0.029791259765624994
defender,1776662838.364583,35.072485506534576,19.996036964468658,-0.029394531249999994
defender,1776662838.4046226,35.07247902452946,19.99574293848127,-0.029089355468749994
defender,1776662838.4445996,35.072547659277916,19.99537127884105,-0.028936767578124994
defender,1776662838.4845827,35.07264211028814,19.994950966909528,-0.028875732421874994
defender,1776662838.5246096,35.07272434979677,19.994491099379957,-0.028906249999999994
defender,1776662838.5645754,35.0727693811059,19.99430310493335,-0.028906249999999994
defender,1776662838.604606,35.07294038683176,19.99384297337383,-0.029058837890624994
defender,1776662838.6453736,35.073249228298664,19.9932923768647,-0.029272460937499994
defender,1776662838.6846044,35.07357195019722,19.9929329729639,-0.029516601562499994
defender,1776662838.7245917,35.07385043799877,19.992679723072797,-0.029791259765624994
defender,1776662838.7653847,35.074259236454964,19.99229906871915,-0.030249023437499994
defender,1776662838.804641,35.074530586600304,19.991938748396933,-0.030584716796874994
defender,1776662838.8446093,35.074720434844494,19.991484734229743,-0.030859374999999994
defender,1776662838.8847232,35.074875608086586,19.99100551009178,-0.031164550781249994
defender,1776662838.9245696,35.07495027780533,19.990821747109294,-0.031286621093749994
defender,1776662838.9646358,35.075169786810875,19.99045975599438,-0.031561279296874994
defender,1776662839.0045779,35.07547900825739,19.990233154036105,-0.031835937499999994
defender,1776662839.0445871,35.075833827257156,19.99014258850366,-0.032171630859374994
defender,1776662839.0846462,35.0761624276638,19.990175399929285,-0.032446289062499994
defender,1776662839.1247585,35.07630880177021,19.990259691141546,-0.032659912109374994
defender,1776662839.1645927,35.07645647227764,19.99044233560562,-0.032934570312499994
defender,1776662839.2046108,35.076591312885284,19.990782405249774,-0.033331298828124994
defender,1776662839.2446373,35.07668061554432,19.991376564837992,-0.033880615234374994
defender,1776662839.2860339,35.07670933753252,19.991966020315886,-0.034246826171874994
defender,1776662839.3245764,35.076723232865334,19.992485008668154,-0.034552001953124994
defender,1776662839.3646836,35.07672715187073,19.992902883328497,-0.034704589843749994
defender,1776662839.4046896,35.0766926035285,19.99359329463914,-0.034826660156249994
defender,1776662839.4445922,35.076665215194225,19.99410204216838,-0.034857177734374994
defender,1776662839.4846106,35.07672566920519,19.994816387537867,-0.034796142578124994
defender,1776662839.5245783,35.07684975117445,19.995354449842125,-0.034613037109374994
defender,1776662839.564668,35.07691863179207,19.995987163856626,-0.034185791015624994
defender,1776662839.6046157,35.076948657631874,19.996237794170156,-0.034063720703124994
defender,1776662839.644642,35.077051147818565,19.99683176446706,-0.033697509765624994
defender,1776662839.6846123,35.07703027129173,19.997405246365815,-0.033239746093749994
defender,1776662839.724626,35.076829232275486,19.9979479694739,-0.032751464843749994
defender,1776662839.7647257,35.07646156847477,19.9984252526192,-0.032202148437499994
defender,1776662839.8045928,35.07602050155401,19.998793658684008,-0.031713867187499994
defender,1776662839.8445997,35.07517213374376,19.99933222477557,-0.031042480468749994
defender,1776662839.884607,35.07430575042963,19.99975459530833,-0.030401611328124994
defender,1776662839.9245257,35.073960460722446,19.999919365167443,-0.030157470703124994
defender,1776662839.964653,35.07302591949701,20.000284773588646,-0.029394531249999994
defender,1776662840.0045905,35.07209612429142,20.000607208930887,-0.028631591796874994
defender,1776662840.0461268,35.071281895041466,20.000925163039938,-0.027899169921874994
defender,1776662840.0846548,35.0704805329442,20.001262616249733,-0.027258300781249994
defender,1776662840.1245859,35.069621823728085,20.001688974676654,-0.026647949218749994
defender,1776662840.165058,35.06874071806669,20.002142497804016,-0.026007080078124994
defender,1776662840.2084777,35.06781218200922,20.002629852388054,-0.025427246093749994
defender,1776662840.244594,35.06722071766853,20.002935416530818,-0.025061035156249994
defender,1776662840.2854588,35.06613797694445,20.003424709197134,-0.024359130859374994
defender,1776662840.324572,35.06500140577555,20.003939997870475,-0.023687744140624994
defender,1776662840.3645844,35.06406968832016,20.004309199284762,-0.023199462890624994
defender,1776662840.4056857,35.06286554783583,20.004668155685067,-0.022619628906249994
defender,1776662840.4445918,35.061334636062384,20.004992148373276,-0.022100830078124994
defender,1776662840.4845989,35.060269959270954,20.00513193011284,-0.021795654296874994
defender,1776662840.524593,35.05873602256179,20.005247459746897,-0.021429443359374994
defender,1776662840.564481,35.057749923318624,20.005255609750748,-0.021307373046874994
defender,1776662840.604579,35.05701873078942,20.005230062641203,-0.021307373046874994
defender,1776662840.6453958,35.05584501847625,20.0051455819048,-0.021582031249999994
defender,1776662840.6856468,35.05478036776185,20.005028024315834,-0.022039794921874994
defender,1776662840.7245882,35.053787898272276,20.00484904507175,-0.022680664062499994
defender,1776662840.764577,35.05287276953459,20.004630394279957,-0.023413085937499994
defender,1776662840.8045826,35.0520584769547,20.004385796841234,-0.024359130859374994
defender,1776662840.8445997,35.05149266123772,20.00417320150882,-0.025213623046874994
defender,1776662840.8846123,35.05075167864561,20.00379057833925,-0.026678466796874994
