vehicle,stamp,x,y,z
defender,1776745325.2431266,32.00902901403606,21.957137532532215,7.001068115234375
defender,1776745325.2831528,32.00946363154799,21.95759527385235,7.0006103515625
defender,1776745325.3231544,32.01009009499103,21.958395536988974,6.999969482421875
defender,1776745325.3633053,32.01051052194089,21.959246814250946,6.999481201171875
defender,1776745325.4031606,32.01084983628243,21.96019261702895,6.99908447265625
defender,1776745325.4431536,32.011052682064474,21.960998848080635,6.99884033203125
defender,1776745325.4831202,32.01117951981723,21.961632691323757,6.99871826171875
defender,1776745325.523126,32.01135987136513,21.962707344442606,6.99853515625
defender,1776745325.564766,32.011521024629474,21.963772248476744,6.9984130859375
defender,1776745325.6031382,32.011633111163974,21.96480520069599,6.998321533203125
defender,1776745325.6431437,32.01171690970659,21.965822730213404,6.998291015625
defender,1776745325.6838682,32.01185573358089,21.966794960200787,6.998260498046875
defender,1776745325.7231202,32.01205900032073,21.967774391174316,6.998321533203125
defender,1776745325.763147,32.012320222333074,21.968749724328518,6.99847412109375
defender,1776745325.803117,32.01261521410197,21.9696993380785,6.998626708984375
defender,1776745325.8431509,32.012865556403995,21.970604373142123,6.998779296875
defender,1776745325.8831503,32.013069852255285,21.971368726342916,6.998992919921875
defender,1776745325.9231188,32.01325470302254,21.97205696441233,6.999237060546875
defender,1776745325.96309,32.01333959214389,21.972447894513607,6.999359130859375
defender,1776745326.0031261,32.01338168699294,21.97295654192567,6.999542236328125
defender,1776745326.0432727,32.013262054882944,21.97367244400084,6.9998779296875
defender,1776745326.0831199,32.01307020615786,21.974137285724282,7.000091552734375
defender,1776745326.1231549,32.012508002109826,21.974825985729694,7.00048828125
defender,1776745326.163166,32.01183566078544,21.97534011118114,7.0008544921875
defender,1776745326.2038608,32.01153826341033,21.975544510409236,7.0009765625
defender,1776745326.2431118,32.010441310703754,21.97633245587349,7.00152587890625
defender,1776745326.283137,32.009632541798055,21.976977679878473,7.001953125
defender,1776745326.323754,32.009144162759185,21.97739950940013,7.002227783203125
defender,1776745326.3631628,32.00832428410649,21.97806972451508,7.002655029296875
defender,1776745326.4031608,32.00744494795799,21.97867107950151,7.003082275390625
defender,1776745326.4431427,32.0065312711522,21.97926253825426,7.003570556640625
defender,1776745326.4831338,32.00555647863075,21.979764310643077,7.004119873046875
defender,1776745326.5231261,32.0051680249162,21.97992460615933,7.00439453125
defender,1776745326.5632012,32.003952430561185,21.980273408815265,7.00518798828125
defender,1776745326.6031382,32.00290686986409,21.98045332171023,7.0059814453125
defender,1776745326.6432023,32.00205286289565,21.98054226115346,7.006622314453125
defender,1776745326.6831567,32.000930887821596,21.980580842122436,7.00750732421875
defender,1776745326.7231312,31.999668750504497,21.98056989349425,7.008636474609375
defender,1776745326.7631238,31.998689360450953,21.98048270866275,7.009765625
defender,1776745326.8052297,31.9977578825783,21.980292351916432,7.010955810546875
defender,1776745326.8431346,31.99712271732278,21.98009237460792,7.01202392578125
defender,1776745326.8831232,31.996505066985264,21.979839326813817,7.013458251953125
defender,1776745326.9231603,31.996191498124972,21.97969145514071,7.01434326171875
defender,1776745326.9631536,31.995743630453944,21.97941155731678,7.015838623046875
defender,1776745327.0031338,31.995410243049264,21.97903110831976,7.017364501953125
defender,1776745327.043143,31.99527170183137,21.97845471650362,7.01885986328125
defender,1776745327.0831778,31.995272521395236,21.97770932689309,7.020477294921875
defender,1776745327.1231146,31.995297268033028,21.97689864784479,7.0220947265625
defender,1776745327.1631746,31.99534445302561,21.976054759696126,7.023681640625
defender,1776745327.2031085,31.995392106939107,21.975177409127355,7.025238037109375
defender,1776745327.2431443,31.99542955029756,21.974616849794984,7.02618408203125
defender,1776745327.283183,31.995519236195832,21.97365202009678,7.027679443359375
defender,1776745327.323131,31.99564783507958,21.97286137007177,7.028839111328125
defender,1776745327.3630989,31.99589665653184,21.971914242953062,7.03021240234375
